

Algoritmo de Entropia Cruzada com a funcao de Ratrigin

Time, Iteracoes, x1, x2
50.8951, 50, -3.749794157696286e-09, 1.761928507321733e-10
50.8951, 50, -3.749652722060458e-09, -4.283239446858768e-10
41.9212, 50, 0.07682895568818768, -0.0034477990329156096
51.861, 50, -3.749754507217697e-09, -4.35252952941457e-10
57.8886, 50, -3.749802509714584e-09, -6.423550143867105e-10
51.8612, 50, -3.749542998614385e-09, 2.6486758588227077e-10
50.8641, 50, -3.7495270826160015e-09, 2.7161874466976167e-10
49.91, 50, -3.7497925002322646e-09, 1.0488200865239009e-10
48.9156, 50, -3.749722108340824e-09, -2.9481379828426995e-10
58.8736, 50, -3.749764130167102e-09, -4.0153106442689086e-10
48.9014, 50, -3.749749916370488e-09, 2.797583585671296e-10
49.898, 50, -3.74957864557977e-09, 1.6706457291625842e-10
49.899, 50, -3.749636619254978e-09, -6.926494773762303e-10
